lemma,ngsl_rank,sfi,adjusted_frequency_per_million,hai_familiarity_band
progress,1101,59.12,82,e
truth,1102,59.11,82,e
nobody,1103,59.11,82,e
examine,1104,59.1,81,e
lay,1105,59.1,81,e
speed,1106,59.09,81,e
politics,1107,59.09,81,e
reply,1108,59.08,81,e
display,1109,59.08,81,e
transfer,1110,59.08,81,e
perfect,1111,59.07,81,e
slightly,1112,59.07,81,e
overall,1113,59.07,81,e
intend,1114,59.06,80,e
user,1115,59.05,80,e
respond,1116,59.05,80,e
dinner,1117,59.04,80,e
slow,1118,59.04,80,e
regular,1119,59.04,80,e
physical,1120,59.04,80,e
apart,1121,59.02,80,e
suit,1122,59.01,80,e
federal,1123,59.01,80,e
reveal,1124,59.01,80,e
percentage,1125,59,79,e
peace,1126,58.99,79,e
status,1127,58.99,79,e
crime,1128,58.98,79,e
decline,1129,58.97,79,e
decade,1130,58.97,79,e
launch,1131,58.97,79,e
warn,1132,58.96,79,e
consumer,1133,58.96,79,e
favor,1134,58.96,79,e
dry,1135,58.95,78,e
partner,1136,58.95,78,e
institution,1137,58.95,78,e
spot,1138,58.94,78,e
horse,1139,58.94,78,e
eventually,1140,58.93,78,e
heat,1141,58.93,78,e
excite,1142,58.92,78,e
reader,1143,58.92,78,e
importance,1144,58.91,78,e
distance,1145,58.9,78,e
guide,1146,58.9,78,e
grant,1147,58.9,78,e
taxi,1148,58.89,77,e
feed,1149,58.89,77,e
pain,1150,58.89,77,e
sector,1151,58.87,77,e
mistake,1152,58.87,77,e
ensure,1153,58.86,77,e
satisfy,1154,58.85,77,e
chief,1155,58.85,77,e
cool,1156,58.85,77,e
expert,1157,58.84,77,e
wave,1158,58.84,77,e
south,1159,58.84,77,e
labor,1160,58.83,76,e
surface,1161,58.83,76,e
library,1162,58.82,76,e
excellent,1163,58.81,76,e
edge,1164,58.81,76,e
camp,1165,58.81,76,e
audience,1166,58.8,76,e
lift,1167,58.8,76,e
procedure,1168,58.79,76,e
email,1169,58.79,76,e
global,1170,58.79,76,e
struggle,1171,58.79,76,e
advertise,1172,58.77,75,e
select,1173,58.76,75,e
surround,1174,58.75,75,e
extent,1175,58.74,75,e
river,1176,58.73,75,e
annual,1177,58.73,75,e
fully,1178,58.73,75,e
contrast,1179,58.72,75,e
roll,1180,58.71,74,e
reality,1181,58.71,74,e
photograph,1182,58.7,74,e
artist,1183,58.69,74,e
conflict,1184,58.69,74,e
entire,1185,58.69,74,e
presence,1186,58.69,74,e
crowd,1187,58.69,74,e
corner,1188,58.69,74,e
gas,1189,58.69,74,e
shift,1190,58.68,74,e
net,1191,58.68,74,e
category,1192,58.68,74,e
secretary,1193,58.68,74,e
defense,1194,58.68,74,e
quick,1195,58.67,74,e
cook,1196,58.67,74,e
spread,1197,58.66,73,e
nuclear,1198,58.66,73,e
scale,1199,58.66,73,e
driver,1200,58.66,73,e
ball,1201,58.65,73,e
cry,1202,58.64,73,e
introduction,1203,58.63,73,e
requirement,1204,58.63,73,e
north,1205,58.62,73,e
confirm,1206,58.62,73,e
senior,1207,58.6,72,e
photo,1208,58.59,72,e
refuse,1209,58.59,72,e
transport,1210,58.58,72,e
emerge,1211,58.58,72,e
map,1212,58.58,72,e
concept,1213,58.58,72,e
island,1214,58.57,72,e
reform,1215,58.57,72,e
neither,1216,58.57,72,e
football,1217,58.56,72,e
survive,1218,58.56,72,e
flight,1219,58.55,72,e
left,1220,58.55,72,e
solve,1221,58.54,72,e
neighbor,1222,58.54,72,e
background,1223,58.54,71,e
technique,1224,58.54,71,e
traffic,1225,58.54,71,e
improvement,1226,58.53,71,e
tool,1227,58.52,71,e
consequence,1228,58.52,71,e
circumstance,1229,58.52,71,e
smoke,1230,58.52,71,e
reaction,1231,58.52,71,e
rain,1232,58.52,71,e
busy,1233,58.51,71,e
lesson,1234,58.51,71,e
brain,1235,58.5,71,e
mass,1236,58.5,71,e
funny,1237,58.49,71,e
contribute,1238,58.49,71,e
failure,1239,58.49,71,e
schedule,1240,58.48,71,e
speaker,1241,58.48,70,e
bottom,1242,58.47,70,e
adopt,1243,58.47,70,e
combine,1244,58.47,70,e
mountain,1245,58.46,70,e
waste,1246,58.46,70,e
hide,1247,58.45,70,e
marriage,1248,58.45,70,e
ticket,1249,58.45,70,e
meal,1250,58.45,70,e
colleague,1251,58.45,70,e
bag,1252,58.45,70,e
repeat,1253,58.44,70,e
equal,1254,58.43,70,e
expression,1255,58.43,70,e
plus,1256,58.43,70,e
extremely,1257,58.43,70,e
owner,1258,58.42,70,e
plane,1259,58.42,69,e
commercial,1260,58.41,69,e
lady,1261,58.39,69,e
duty,1262,58.38,69,e
strength,1263,58.37,69,e
connect,1264,58.36,69,e
cultural,1265,58.36,69,e
arrange,1266,58.35,68,e
scheme,1267,58.35,68,e
payment,1268,58.34,68,e
unfortunately,1269,58.34,68,e
brief,1270,58.34,68,e
bird,1271,58.33,68,e
demonstrate,1272,58.33,68,e
contribution,1273,58.33,68,e
appreciate,1274,58.32,68,e
chapter,1275,58.32,68,e
secret,1276,58.32,68,e
apparently,1277,58.32,68,e
novel,1278,58.32,68,e
union,1279,58.31,68,e
burn,1280,58.31,68,e
trend,1281,58.31,68,e
initial,1282,58.31,68,e
pleasure,1283,58.3,68,e
suggestion,1284,58.3,68,e
critical,1285,58.29,67,e
gather,1286,58.29,67,e
mostly,1287,58.29,67,e
earth,1288,58.29,67,e
pop,1289,58.28,67,e
essential,1290,58.27,67,e
desire,1291,58.27,67,e
promote,1292,58.27,67,e
currently,1293,58.27,67,e
employ,1294,58.26,67,e
path,1295,58.26,67,e
topic,1296,58.26,67,e
beach,1297,58.25,67,e
attract,1298,58.25,67,e
engage,1299,58.25,67,e
powerful,1300,58.24,67,e
flower,1301,58.24,67,e
crisis,1302,58.24,67,e
settle,1303,58.23,67,e
boat,1304,58.23,66,e
aid,1305,58.23,66,e
fan,1306,58.23,66,e
kitchen,1307,58.23,66,e
twice,1308,58.22,66,e
fresh,1309,58.22,66,e
delay,1310,58.22,66,e
safety,1311,58.22,66,e
engineer,1312,58.22,66,e
quiet,1313,58.21,66,e
insurance,1314,58.21,66,e
nurse,1315,58.21,66,e
divide,1316,58.2,66,e
length,1317,58.2,66,e
investigation,1318,58.19,66,e
package,1319,58.19,66,e
somewhere,1320,58.19,66,e
expand,1321,58.18,66,e
commit,1322,58.18,66,e
obvious,1323,58.18,66,e
jump,1324,58.16,65,e
weapon,1325,58.16,65,e
relatively,1326,58.15,65,e
host,1327,58.15,65,e
winter,1328,58.15,65,e
district,1329,58.15,65,e
broad,1330,58.14,65,e
tire,1331,58.12,65,e
spring,1332,58.11,65,e
spirit,1333,58.09,64,e
lunch,1334,58.09,64,e
actual,1335,58.08,64,e
pool,1336,58.08,64,e
battle,1337,58.08,64,e
tradition,1338,58.08,64,e
cash,1339,58.07,64,e
hardly,1340,58.06,64,e
award,1341,58.06,64,e
coach,1342,58.06,64,e
experiment,1343,58.06,64,e
consideration,1344,58.06,64,e
strange,1345,58.06,64,e
code,1346,58.06,64,e
possibly,1347,58.04,64,e
threat,1348,58.04,64,e
accident,1349,58.04,64,e
impossible,1350,58.04,64,e
revenue,1351,58.04,64,e
enable,1352,58.04,64,e
afraid,1353,58.03,63,e
active,1354,58.03,63,e
conclude,1355,58.02,63,e
religious,1356,58.01,63,e
cancer,1357,58.01,63,e
convince,1358,58.01,63,e
vary,1359,58.01,63,e
environmental,1360,58,63,e
sun,1361,58,63,e
healthy,1362,57.99,63,e
blow,1363,57.98,63,e
volume,1364,57.97,63,e
location,1365,57.97,63,e
invest,1366,57.97,63,e
proceed,1367,57.97,63,e
wash,1368,57.97,63,e
actor,1369,57.96,63,e
glad,1370,57.96,63,e
tape,1371,57.96,62,e
whereas,1372,57.96,62,e
opposite,1373,57.95,62,e
stone,1374,57.95,62,e
sum,1375,57.95,62,e
murder,1376,57.95,62,e
monitor,1377,57.94,62,e
soldier,1378,57.94,62,e
finance,1379,57.94,62,e
hate,1380,57.93,62,e
egg,1381,57.93,62,e
concert,1382,57.92,62,e
shock,1383,57.92,62,e
comfortable,1384,57.92,62,e
usual,1385,57.92,62,e
carefully,1386,57.91,62,e
pack,1387,57.91,62,e
recall,1388,57.91,62,e
wine,1389,57.9,62,e
camera,1390,57.9,62,e
swim,1391,57.9,62,e
manufacture,1392,57.9,62,e
theater,1393,57.89,61,e
cycle,1394,57.88,61,e
coffee,1395,57.87,61,e
totally,1396,57.87,61,e
museum,1397,57.87,61,e
visitor,1398,57.87,61,e
freedom,1399,57.86,61,e
construction,1400,57.86,61,e
dear,1401,57.86,61,e
