lemma,ngsl_rank,sfi,adjusted_frequency_per_million,hai_familiarity_band
excess,2643,53.48,22,h
complexity,2644,53.47,22,h
liability,2645,53.47,22,h
surprisingly,2646,53.46,22,h
extract,2647,53.46,22,h
implementation,2648,53.45,22,h
bias,2649,53.44,22,h
differently,2650,53.44,22,h
catalog,2651,53.43,22,h
continuous,2652,53.43,22,h
golden,2653,53.42,22,h
stamp,2654,53.42,22,h
guideline,2655,53.41,22,h
envelope,2656,53.41,22,h
knife,2657,53.41,22,h
biological,2658,53.4,22,h
consume,2659,53.4,22,h
luxury,2660,53.39,22,h
weekly,2661,53.39,22,h
wherever,2662,53.39,22,h
bite,2663,53.38,22,h
printer,2664,53.38,22,h
firstly,2665,53.38,22,h
anxious,2666,53.38,22,h
adventure,2667,53.38,22,h
fence,2668,53.37,22,h
exhaust,2669,53.36,22,h
attraction,2670,53.36,22,h
ocean,2671,53.36,22,h
quietly,2672,53.36,22,h
castle,2673,53.36,22,h
veteran,2674,53.35,22,h
reflection,2675,53.35,22,h
nerve,2676,53.35,22,h
determination,2677,53.34,22,h
altogether,2678,53.34,22,h
fiction,2679,53.33,22,h
carpet,2680,53.31,21,h
cluster,2681,53.31,21,h
confusion,2682,53.29,21,h
hurry,2683,53.29,21,h
logic,2684,53.29,21,h
controversial,2685,53.28,21,h
raw,2686,53.28,21,h
grammar,2687,53.26,21,h
revise,2688,53.26,21,h
hint,2689,53.26,21,h
hook,2690,53.25,21,h
bell,2691,53.25,21,h
liquid,2692,53.24,21,h
panic,2693,53.24,21,h
uncle,2694,53.23,21,h
rice,2695,53.22,21,h
slope,2696,53.22,21,h
happiness,2697,53.21,21,h
genuine,2698,53.21,21,h
vessel,2699,53.2,21,h
verb,2700,53.2,21,h
reckon,2701,53.19,21,h
silly,2702,53.18,21,h
transportation,2703,53.18,21,h
harbor,2704,53.18,21,h
comedy,2705,53.17,21,h
chase,2706,53.17,21,h
storage,2707,53.16,21,h
universe,2708,53.16,21,h
horrible,2709,53.16,21,h
sheep,2710,53.16,21,h
lover,2711,53.16,21,h
rat,2712,53.15,21,h
portrait,2713,53.15,21,h
innocent,2714,53.15,21,h
substitute,2715,53.14,21,h
supplement,2716,53.14,21,h
adjustment,2717,53.13,21,h
reasonably,2718,53.13,21,h
filter,2719,53.13,21,h
flexible,2720,53.13,21,h
abstract,2721,53.12,21,h
tent,2722,53.11,20,h
precise,2723,53.11,20,h
distant,2724,53.1,20,h
stranger,2725,53.1,20,h
shade,2726,53.09,20,h
grain,2727,53.07,20,h
situate,2728,53.07,20,h
summarize,2729,53.07,20,h
leap,2730,53.07,20,h
snap,2731,53.06,20,h
probability,2732,53.06,20,h
leather,2733,53.05,20,h
uncertainty,2734,53.04,20,h
swear,2735,53.04,20,h
refugee,2736,53.03,20,h
shore,2737,53.02,20,h
monthly,2738,52.99,20,h
comprise,2739,52.98,20,h
stir,2740,52.98,20,h
excitement,2741,52.96,20,h
sigh,2742,52.95,20,h
pregnancy,2743,52.95,20,h
experimental,2744,52.95,20,h
institutional,2745,52.94,20,h
slice,2746,52.94,20,h
wander,2747,52.94,20,h
empire,2748,52.93,20,h
subsequently,2749,52.93,20,h
gentle,2750,52.91,20,h
attendance,2751,52.9,19,h
ownership,2752,52.89,19,h
qualification,2753,52.89,19,h
suspend,2754,52.88,19,h
functional,2755,52.87,19,h
voluntary,2756,52.86,19,h
pale,2757,52.86,19,h
stain,2758,52.86,19,h
athlete,2759,52.85,19,h
organic,2760,52.85,19,h
tongue,2761,52.85,19,h
server,2762,52.82,19,h
structural,2763,52.82,19,h
website,2764,52.82,19,h
fool,2765,52.81,19,h
alongside,2766,52.81,19,h
unite,2767,52.8,19,h
gently,2768,52.79,19,h
compute,2769,52.78,19,h
wipe,2770,52.76,19,h
weird,2771,52.75,19,h
gaze,2772,52.74,19,h
fade,2773,52.73,19,h
cough,2774,52.73,19,h
hypothesis,2775,52.71,19,h
royal,2776,52.69,19,h
theoretical,2777,52.67,19,h
curtain,2778,52.67,18,h
mayor,2779,52.55,18,h
darkness,2780,52.49,18,h
aunt,2781,52.45,18,h
tournament,2782,52.4,17,h
registration,2783,52.38,17,h
fragment,2784,52.38,17,h
listener,2785,52.32,17,h
immigration,2786,52.28,17,h
tender,2787,52.12,16,h
density,2788,52.05,16,h
ugly,2789,52,16,h
module,2790,51.85,15,h
faithfully,2791,51.79,15,h
autumn,2792,51.75,15,h
cheek,2793,51.73,15,h
attachment,2794,51.69,15,h
holder,2795,51.58,14,h
solar,2796,51.47,14,h
grin,2797,50.96,12,h
rose,2798,50.8,12,h
noun,2799,50.41,11,h
fortunate,2800,50.37,11,h
alright,2801,50.32,11,h
lazy,2802,50.05,10,h
hello,2803,49.89,10,h
hunger,2804,49.7,9,h
insure,2805,49.65,9,h
ashamed,2806,49.28,8,h
found,2807,48.26,7,h
blog,2808,48.19,7,h
thirst,2809,44.79,3,h
